File,Price,Beds,Baths,Sq ft,Year Built,Zip Code,Zestimate
boston_forsale_02108.csv,650000,2,2,803,1850,2108,"577,604"
boston_forsale_02108.csv,1850000,2,2.5,2040 ,1900,2108,0
boston_forsale_02108.csv,1695000,2,2,1805 ,1850,2108,0
boston_forsale_02108.csv,3995000,3,4,3230 ,1800,2108,0
boston_forsale_02108.csv,4995000,6,5,5342 ,1900,2108,0
boston_forsale_02108.csv,545000,1,1,806,1890,2108,0
boston_forsale_02108.csv,889000,2,1,1416 ,1900,2108,0
boston_forsale_02108.csv,1149000,2,2,966,2009,2108,"892,088"
boston_forsale_02108.csv,1299000,2,2,1405 ,2009,2108,"1,133,291"
boston_forsale_02108.csv,1200000,2,2,1275 ,1860,2108,"1,114,730"
boston_forsale_02108.csv,10500000,7,5.5,8239 ,1823,2108,"8,924,999"
boston_forsale_02108.csv,5500000,5,3.5,5081 ,1827,2108,"4,674,999"
boston_forsale_02108.csv,3900000,3,3,2943 ,1910,2108,"3,436,777"
boston_forsale_02108.csv,1575000,2,2,1318 ,2009,2108,"1,230,586"
boston_forsale_02108.csv,975000,1,1.5,1316 ,2009,2108,"956,618"
boston_forsale_02108.csv,1399000,2,2,1291 ,2009,2108,"1,119,282"
boston_forsale_02108.csv,1275000,2,2.5,1559 ,2009,2108,"1,229,300"
boston_forsale_02108.csv,6700000,4,5,3905 ,1875,2108,0
boston_forsale_02108.csv,1099000,1,1.5,1368 ,2009,2108,"969,327"
boston_forsale_02108.csv,3450000,4,3.5,3000 ,1938,2108,"2,932,499"
boston_forsale_02108.csv,3950000,5,4.5,4515 ,1890,2108,"3,687,444"
boston_forsale_02108.csv,3300000,6,4,4010 ,1829,2108,"2,763,769"
boston_forsale_02108.csv,3999000,3,3.5,3246 ,1935,2108,"3,502,687"
boston_forsale_02108.csv,5650000,9,8.5,6500 ,1830,2108,"4,807,174"
boston_forsale_02108.csv,1325000,2,2,1318 ,2009,2108,"1,098,782"
boston_forsale_02108.csv,10750000,6,8,7878 ,1846,2108,0
boston_forsale_02108.csv,4700000,5,5,5115 ,1850,2108,"5,147,506"
boston_forsale_02108.csv,2199000,2,2,1636 ,2009,2108,"1,858,546"
boston_forsale_02108.csv,1325000,2,2,1117 ,2009,2108,"1,132,055"
boston_forsale_02108.csv,4390000,3,3.5,3319 ,2009,2108,"3,643,974"
boston_forsale_02108.csv,3399000,2,2.5,2484 ,2009,2108,"2,842,168"
boston_forsale_02108.csv,4750000,5,4.5,5023 ,1850,2108,"4,344,160"
boston_forsale_02108.csv,3964000,3,3.5,2872 ,2009,2108,"3,317,041"
boston_forsale_02108.csv,995000,1,1.5,1235 ,2009,2108,"896,769"
boston_forsale_02108.csv,12500000,5,7,8682 ,1819,2108,"10,624,975"
boston_forsale_02108.csv,5875000,6,5,4774 ,1830,2108,"4,886,882"
boston_forsale_02108.csv,199900,4,2.5,2500 ,21012,2108,"799,766"
boston_forsale_02108.csv,1150000,2,2,1220 ,1880,2108,"930,479"
boston_forsale_02108.csv,799995,2,1,778,1900,2108,"591,583"
boston_forsale_02108.csv,3954001,4,1,4533 ,1899,2108,"3,954,001"
boston_forsale_02108.csv,2883063,3,3.5,3186 ,1899,2108,"2,883,063"
boston_forsale_02108.csv,4330810,4,3.5,5000 ,1818,2108,"4,330,810"
boston_forsale_02108.csv,291062,1,1,560,1899,2108,"291,062"
boston_forsale_02109.csv,2050000,2,2,1530 ,1911,2109,"1,225,473"
boston_forsale_02109.csv,439000,1,1,680,1899,2109,0
boston_forsale_02109.csv,975000,2,2.5,1650 ,1899,2109,0
boston_forsale_02109.csv,359000,1,1,585,1900,2109,0
boston_forsale_02109.csv,2800000,3,2.5,2304 ,1978,2109,"2,379,999"
boston_forsale_02109.csv,550000,1,1.5,1082 ,1900,2109,"532,072"
boston_forsale_02109.csv,850000,2,2,1240 ,1900,2109,"769,519"
boston_forsale_02109.csv,1500000,4,0,3544 ,2003,2109,0
boston_forsale_02109.csv,665000,2,1,1050 ,1900,2109,"543,980"
boston_forsale_02109.csv,419000,2,1,601,1900,2109,"391,649"
boston_forsale_02109.csv,419000,2,1,601,1900,2109,"389,080"
boston_forsale_02109.csv,996000,2,2.5,2000 ,1890,2109,"941,963"
boston_forsale_02109.csv,550000,1,1,965,1853,2109,"588,797"
boston_forsale_02109.csv,575000,2,1,827,1935,2109,"500,682"
boston_forsale_02109.csv,575000,1,1,867,1850,2109,"456,084"
boston_forsale_02109.csv,599000,1,1.5,855,1856,2109,"527,015"
boston_forsale_02109.csv,700000,2,2,1187 ,1987,2109,"678,120"
boston_forsale_02109.csv,337000,1,1,523,1920,2109,"279,907"
boston_forsale_02109.csv,699000,2,1,802,1860,2109,"550,644"
boston_forsale_02110.csv,637500,2,2,1112 ,1899,2110,"583,177"
boston_forsale_02110.csv,1229000,2,2,1312 ,1832,2110,"1,079,345"
boston_forsale_02110.csv,720000,2,1.5,1211 ,1972,2110,0
boston_forsale_02110.csv,1590000,2,2,1500 ,1987,2110,"1,310,714"
boston_forsale_02110.csv,1790000,2,2,1652 ,1832,2110,"1,603,879"
boston_forsale_02110.csv,2200000,3,3,2400 ,1970,2110,"1,869,999"
boston_forsale_02110.csv,1425000,2,2.5,1977 ,1970,2110,0
boston_forsale_02110.csv,1399000,3,2,1533 ,1968,2110,"1,101,471"
boston_forsale_02110.csv,1499000,3,3,1977 ,1970,2110,"1,372,583"
boston_forsale_02110.csv,1450000,2,2,1235 ,1832,2110,"1,192,981"
boston_forsale_02110.csv,3200000,2,2.5,2349 ,1987,2110,"2,881,987"
boston_forsale_02110.csv,2599000,3,4,2511 ,1970,2110,"1,200,328"
boston_forsale_02110.csv,1499000,3,2,1658 ,1868,2110,"1,326,038"
boston_forsale_02110.csv,1100000,2,2,1334 ,2009,2110,"622,883"
boston_forsale_02110.csv,679000,2,1.5,1229 ,1970,2110,"708,782"
boston_forsale_02110.csv,950000,2,1.5,1337 ,1920,2110,"901,729"
boston_forsale_02110.csv,529000,1,1,864,2005,2110,"521,099"
boston_forsale_02110.csv,1799000,2,3,2397 ,Unknown,2110,0
boston_forsale_02110.csv,599000,1,1,825,1830,2110,"614,732"
boston_forsale_02110.csv,1299000,3,2.5,1910 ,2006,2110,"1,301,506"
boston_forsale_02110.csv,799000,2,2,1218 ,1972,2110,"734,868"
boston_forsale_02110.csv,995000,2,2.5,1628 ,1972,2110,"942,144"
boston_forsale_02110.csv,995000,2,2.5,1633 ,"<span class=""noicon contact-label track-ga-event"" data-ga-label=""Year Built"" data-ga-action=""Contact for details link"" data-ga-category=""Homes""><a class=""show-lightbox"" data-reason=""1"" href=""#contact-lightbox"">Contact for details</a></span>",2110,"566,188"
boston_forsale_02110.csv,637500,2,2,1112 ,1900,2110,"909,515"
boston_forsale_02110.csv,1125000,2,2,1250 ,1830,2110,0
boston_forsale_02110.csv,799000,2,2,1226 ,1970,2110,"709,464"
boston_forsale_02110.csv,824900,2,2,1168 ,2006,2110,"747,293"
boston_forsale_02110.csv,899000,2,1,1264 ,1978,2110,"853,769"
boston_forsale_02110.csv,565000,1,1,746,1970,2110,"510,277"
boston_forsale_02110.csv,575000,1,1,881,1970,2110,"559,894"
boston_forsale_02110.csv,609000,1,1,825,1973,2110,0
boston_forsale_02110.csv,2395000,3,3,2125 ,Unknown,2110,0
boston_forsale_02110.csv,2395000,3,2.5,2125 ,2012,2110,"2,035,749"
boston_forsale_02110.csv,2700000,2,2.5,1895 ,1987,2110,"2,268,516"
boston_forsale_02110.csv,539000,1,1,874,1970,2110,"509,347"
boston_forsale_02110.csv,615000,1,1,825,1850,2110,"607,052"
boston_forsale_02110.csv,1790000,2,2,1836 ,1820,2110,"1,521,499"
boston_forsale_02110.csv,569900,1,1,836,2006,2110,"525,517"
boston_forsale_02110.csv,2150000,4,3,2388 ,1972,2110,"1,293,235"
boston_forsale_02110.csv,690000,2,2,1230 ,1970,2110,"657,362"
